Taxa_Short	Type_Phylum	Type_Temp	Type_AO	Type_Taxa
Csub	aig	thermo	nonAO	caldiarchaeum
CsymA	thaum	meso	AO	nitrosopumilales
NlimBG20	thaum	meso	AO	nitrosopumilales
NlimSFB1	thaum	meso	AO	nitrosopumilales
NkorMY1	thaum	meso	AO	nitrosopumilales
NexG61	thaum	meso	AO	nitrososphaerales
NoleMY3	thaum	meso	AO	nitrososphaerales
NcatSPOT01	thaum	meso	AO	nitrosopumilales
NbrevCN25	thaum	meso	AO	nitrosopumilales
NadrNF5	thaum	meso	AO	nitrosopumilales
NmarSCM1	thaum	meso	AO	nitrosopumilales
NpirD3C	thaum	meso	AO	nitrosopumilales
NsedAR2	thaum	meso	AO	nitrosopumilales
NspNsub	thaum	meso	AO	nitrosopumilales
NspSJ	thaum	meso	AO	nitrosopumilales
NeveSR1	thaum	meso	AO	nitrososphaerales
NvieEN76	thaum	meso	AO	nitrososphaerales
NbavSBT1	thaum	meso	AO	nitrosotaleales
NdevNd1	thaum	meso	AO	nitrosotaleales
NokcCS	thaum	meso	AO	nitrosotaleales
NsinNd2	thaum	meso	AO	nitrosotaleales
NaquAQ6F	thaum	meso	AO	nitrosopumilales
NchuMY2	thaum	meso	AO	nitrosopumilales
NcloSAT1	thaum	meso	AO	nitrosopumilales
ThCSP1	thaum	meso	AO	nitrosopumilales
ThFn1	thaum	meso	nonAO	groupI1c
GerD	thaum	modthermo	AO	nitrososphaerales
GerE	thaum	modthermo	AO	nitrososphaerales
NgarGa92	thaum	modthermo	AO	nitrososphaerales
NuzN4	thaum	modthermo	AO	nitrosopumilales
CNB	thaum	thermo	AO	nitrosocaldales
CNM1	thaum	thermo	AO	nitrosocaldales
CNU1	thaum	thermo	AO	nitrosocaldales
CNU2	thaum	thermo	AO	nitrosocaldales
DRC1	thaum	thermo	AO	nitrosocaldales
DRC2	thaum	thermo	AO	nitrosocaldales
GBSB	thaum	thermo	AO	nitrosocaldales
GBSF	thaum	thermo	AO	nitrosocaldales
GsxB	thaum	thermo	AO	nitrosocaldales
HL4	thaum	thermo	AO	nitrosocaldales
ISA2	thaum	thermo	AO	nitrosocaldales
JM	thaum	thermo	AO	nitrosocaldales
JZ	thaum	thermo	AO	nitrosocaldales
JZ1	thaum	thermo	AO	nitrosocaldales
JZ25	thaum	thermo	AO	nitrosocaldales
NcavSCU2	thaum	thermo	AO	nitrosocaldales
Nisl3F	thaum	thermo	AO	nitrosocaldales
NyelD5	thaum	thermo	AO	nitrosocaldales
NyelDSB	thaum	thermo	AO	nitrosocaldales
NyelHL72v3	thaum	thermo	AO	nitrosocaldales
QQL	thaum	thermo	AO	nitrosocaldales
QQP	thaum	thermo	AO	nitrosocaldales
QQRM	thaum	thermo	AO	nitrosocaldales
