1_CNB0001_CNBcontig00001-cds1	arCOG01258	O	Chaperonin GroEL (HSP60 family)
100000_QQP1415_QQPcontig00003-cds232	no arCOG hits found.	NA	NA
100001_QQP1416_QQPcontig00008-cds1	no arCOG hits found.	NA	NA
100072_QQP1487_QQPcontig00006-cds1	arCOG01227	U	Signal recognition particle GTPase
100157_QQP1572_QQPcontig07201-cds1	arCOG01422	R	RecB-like nuclease fused to coiled-coil domain
100158_QQP1573_QQPcontig09136-cds1	no arCOG hits found.	NA	NA
1004_CNB1004_CNBcontig00012-cds48	no arCOG hits found.	NA	NA
100438_QQRM0058_QQRMcontig00004-cds58	no arCOG hits found.	NA	NA
100439_QQRM0059_QQRMcontig00005-cds1	no arCOG hits found.	NA	NA
100496_QQRM0116_QQRMcontig00008-cds1	no arCOG hits found.	NA	NA
1005_CNB1005_CNBcontig00012-cds49	arCOG05362	S	Uncharacterized protein
100537_QQRM0157_QQRMcontig00008-cds42	no arCOG hits found.	NA	NA
100571_QQRM0191_QQRMcontig00013-cds34	no arCOG hits found.	NA	NA
100578_QQRM0198_QQRMcontig00018-cds7	arCOG02926	C	Plastocyanin
100579_QQRM0199_QQRMcontig00018-cds8	no arCOG hits found.	NA	NA
100609_QQRM0229_QQRMcontig00019-cds1	arCOG08734	S	Uncharacterized protein
100651_QQRM0271_QQRMcontig00019-cds43	arCOG00047	J	tRNA G10  N-methylase Trm11
100652_QQRM0272_QQRMcontig00020-cds1	arCOG07496	U	Type IV secretory pathway, VirB4 component
100653_QQRM0273_QQRMcontig00020-cds2	no arCOG hits found.	NA	NA
10072_DRC11152_DRC1.AOA2-cds1152	no arCOG hits found.	NA	NA
100723_QQRM0343_QQRMcontig00023-cds31	no arCOG hits found.	NA	NA
100749_QQRM0369_QQRMcontig00024-cds26	no arCOG hits found.	NA	NA
100759_QQRM0379_QQRMcontig00026-cds1	arCOG04239	J	Ribosomal protein S4 or related protein
100788_QQRM0408_QQRMcontig00026-cds30	no arCOG hits found.	NA	NA
100831_QQRM0451_QQRMcontig00030-cds1	arCOG00982	C	Glycerol dehydrogenase or related enzyme
100854_QQRM0474_QQRMcontig00030-cds24	no arCOG hits found.	NA	NA
100894_QQRM0514_QQRMcontig00033-cds1	no arCOG hits found.	NA	NA
100919_QQRM0539_QQRMcontig00033-cds26	arCOG07262	R	CBS domain containing protein
100974_QQRM0594_QQRMcontig00042-cds27	no arCOG hits found.	NA	NA
1010_CNB1010_CNBcontig00012-cds54	arCOG06847	R	Alpha/beta superfamily hydrolase
101023_QQRM0643_QQRMcontig00050-cds24	arCOG01340	C	Acyl-CoA synthetase (NDP forming)
101026_QQRM0646_QQRMcontig00056-cds3	arCOG04548	C	Ferredoxin
101027_QQRM0647_QQRMcontig00056-cds4	no arCOG hits found.	NA	NA
101074_QQRM0694_QQRMcontig00061-cds23	arCOG00047	J	tRNA G10  N-methylase Trm11
101075_QQRM0695_QQRMcontig00080-cds1	arCOG02019	P	Rhodanese-related sulfurtransferase
101094_QQRM0714_QQRMcontig00080-cds20	no arCOG hits found.	NA	NA
101095_QQRM0715_QQRMcontig00087-cds1	no arCOG hits found.	NA	NA
1011_CNB1011_CNBcontig00012-cds55	arCOG04508	P	TRASH/YHS-like protein, metallochaperone
101114_QQRM0734_QQRMcontig00087-cds20	no arCOG hits found.	NA	NA
101163_QQRM0783_QQRMcontig00127-cds14	no arCOG hits found.	NA	NA
101164_QQRM0784_QQRMcontig00129-cds1	no arCOG hits found.	NA	NA
101178_QQRM0798_QQRMcontig00129-cds15	arCOG01590	I	Biotin carboxylase
101179_QQRM0799_QQRMcontig00131-cds1	no arCOG hits found.	NA	NA
101180_QQRM0800_QQRMcontig00131-cds2	arCOG02939	H	Pterin-4a-carbinolamine dehydratase
1012_CNB1012_CNBcontig00012-cds56	arCOG03686	O	Predicted redox protein, regulator of disulfide bond formation
101201_QQRM0821_QQRMcontig00144-cds4	no arCOG hits found.	NA	NA
101215_QQRM0835_QQRMcontig00144-cds18	arCOG01034	F	Nucleoside-triphosphatase THEP1
101216_QQRM0836_QQRMcontig00151-cds1	no arCOG hits found.	NA	NA
101228_QQRM0848_QQRMcontig00151-cds13	no arCOG hits found.	NA	NA
101229_QQRM0849_QQRMcontig00158-cds1	no arCOG hits found.	NA	NA
101232_QQRM0852_QQRMcontig00158-cds4	arCOG04255	J	Ribosomal protein S12
101233_QQRM0853_QQRMcontig00158-cds5	arCOG04255	J	Ribosomal protein S12
101247_QQRM0867_QQRMcontig00158-cds19	no arCOG hits found.	NA	NA
101248_QQRM0868_QQRMcontig00162-cds1	arCOG04249	J	tRNA nucleotidyltransferase (CCA-adding enzyme)
101264_QQRM0884_QQRMcontig00162-cds17	no arCOG hits found.	NA	NA
